,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
Seq014,0.0013813257,0.0008715593,0.00046832633,0.00022362242,0.00010897749,6.266214e-05,4.4182016e-05,3.6251888e-05,3.2531145e-05,3.064482e-05,2.9629522e-05,2.9057019e-05,2.8721643e-05,2.8518682e-05,2.8392276e-05,2.831157e-05,2.825886e-05,2.8223767e-05,2.820001e-05,2.8183716e-05,2.8172322e-05,2.816437e-05,2.8158649e-05,2.8154542e-05,2.8151562e-05,2.8149385e-05,0.0012431652,0.0057485104,0.01841707,0.004687788,0.011902103,0.02500238,0.021440454,0.01733067,0.12387533,0.039327122,0.12774755,0.1003173,0.14154261,0.35770345
Seq015,0.0020375357,0.0012856006,0.0006908085,0.0003298561,0.00016074812,9.24303e-05,6.517104e-05,5.347364e-05,4.798533e-05,4.5202887e-05,4.3705266e-05,4.286079e-05,4.236609e-05,4.2066717e-05,4.1880256e-05,4.1761206e-05,4.168346e-05,4.1631694e-05,4.1596653e-05,4.1572617e-05,4.155581e-05,4.154408e-05,4.153564e-05,4.152958e-05,4.1525185e-05,4.1521977e-05,4.1519605e-05,4.1517782e-05,4.1516436e-05,4.1515406e-05,4.1514577e-05,4.151398e-05,4.1513507e-05,0.0003954662,0.00438698,0.025991092,0.103087485,0.22240394,0.21554495,0.42242038
Seq016,0.006425228,0.0040540528,0.0021784161,0.0010401779,0.0005069081,0.00029147245,0.00020551229,0.00016862537,0.00015131837,0.00014254413,0.00013782161,0.00013515848,0.00013359862,0.00013265455,0.00013206658,0.00013169102,0.00013144585,0.00013128274,0.00013117223,0.00013109633,0.00013104345,0.00013100634,0.00013097985,0.00013096062,0.00013094688,0.00013093665,0.00013092914,0.0001309234,0.00013091916,0.00013091591,0.00013091341,0.00013091155,0.00013090992,0.00013090867,0.00013090768,0.00058812776,0.009437765,0.15579237,0.27098918,0.54473627
Seq017,0.0008907011,0.0005619955,0.00030198437,0.00014419535,7.027044e-05,4.040556e-05,2.8489278e-05,2.3375802e-05,2.0976608e-05,1.9760273e-05,1.9105593e-05,1.8736417e-05,1.8520179e-05,1.8389306e-05,1.83078e-05,1.825574e-05,1.822175e-05,1.8199138e-05,1.8183837e-05,1.8173298e-05,1.8165985e-05,1.8160823e-05,1.815715e-05,1.8154502e-05,1.8152581e-05,1.8151179e-05,1.8150122e-05,1.8149343e-05,1.8148756e-05,0.00017074056,0.007913093,0.02170636,0.02143793,0.043068778,0.115332864,0.046377476,0.36913922,0.21649022,0.112486824,0.043426853
Seq018,0.004302653,0.0027147962,0.0014587769,0.00069655536,0.00033945098,0.00019518459,0.00013762135,0.00011292002,0.00010133037,9.54547e-05,9.229218e-05,9.0508816e-05,8.946426e-05,8.8832065e-05,8.8438326e-05,8.818684e-05,8.802266e-05,8.791343e-05,8.783952e-05,8.77886e-05,8.775327e-05,8.772834e-05,8.771061e-05,8.76978e-05,8.768853e-05,8.768175e-05,8.767665e-05,8.767289e-05,8.767005e-05,8.766778e-05,8.7666114e-05,8.766494e-05,8.766386e-05,8.766303e-05,0.00025423823,0.0029920298,0.031422704,0.098739795,0.37072575,0.48359382
Seq019,0.00037836764,0.00023873431,0.00012828222,6.125383e-05,2.9850713e-05,1.7164184e-05,1.2102175e-05,9.929984e-06,8.910812e-06,8.394116e-06,8.11601e-06,7.959184e-06,7.8673265e-06,7.811733e-06,7.777108e-06,7.754993e-06,7.740556e-06,7.73095e-06,7.7244495e-06,7.719972e-06,1.4580966e-05,0.0007669127,0.005996039,0.0049732546,0.00548367,0.014882741,0.010985086,0.010097141,0.0023979123,0.04990725,0.008464025,0.021572204,0.020007284,0.027717346,0.30350536,0.09756611,0.02850969,0.12747149,0.20768686,0.051023908
Seq020,0.0042714146,0.002695086,0.0014481856,0.00069149816,0.00033698647,0.00019376748,0.00013662217,0.000112100184,0.00010059468,9.476168e-05,9.162212e-05,8.985178e-05,8.8814726e-05,8.818712e-05,8.779624e-05,8.7546665e-05,8.7383676e-05,8.7275155e-05,8.720169e-05,8.715131e-05,8.7116074e-05,8.7091496e-05,8.70738e-05,8.70611e-05,8.7051885e-05,8.704516e-05,8.704018e-05,8.703636e-05,8.7033535e-05,8.703138e-05,8.7029635e-05,8.702839e-05,8.7027394e-05,0.00059693353,0.00864166,0.011644262,0.058160417,0.25916332,0.38246602,0.26723194
Seq021,0.004255902,0.002685298,0.0014429262,0.0006889868,0.00033576263,0.00019306378,0.00013612601,0.000111693065,0.00010022935,9.441753e-05,9.1289374e-05,8.952538e-05,8.849217e-05,8.786684e-05,8.747738e-05,8.722863e-05,8.706624e-05,8.69582e-05,8.6885084e-05,8.683472e-05,8.679978e-05,8.6775115e-05,8.675757e-05,8.674491e-05,8.673573e-05,8.672903e-05,8.672399e-05,8.672026e-05,8.671745e-05,8.671522e-05,8.671357e-05,8.671241e-05,8.6711334e-05,8.6710505e-05,0.0009284665,0.009424442,0.12623313,0.37431303,0.18559125,0.29137143
Seq022,0.0010032592,0.00063301506,0.00034014625,0.00016241737,7.9150544e-05,4.5511628e-05,3.208948e-05,2.6329812e-05,2.362743e-05,2.2257385e-05,2.1519974e-05,2.1104162e-05,2.086058e-05,2.0713169e-05,2.062136e-05,2.0562744e-05,2.052446e-05,2.0498972e-05,2.0481715e-05,2.0469883e-05,2.0461608e-05,2.0455831e-05,2.0451678e-05,2.0448693e-05,2.0446529e-05,2.044495e-05,2.044378e-05,2.0442883e-05,2.044222e-05,0.00030573193,0.0018640318,0.039978962,0.06383238,0.09423941,0.11623371,0.15847625,0.054489683,0.22260234,0.1675856,0.07763274
Seq023,0.0004313513,0.00027216482,0.0001462458,6.983131e-05,3.4030756e-05,1.9567715e-05,1.3796865e-05,1.1320508e-05,1.0158617e-05,9.569568e-06,9.252509e-06,9.07373e-06,8.969002e-06,8.905624e-06,8.86615e-06,8.840947e-06,8.824488e-06,8.813528e-06,8.806118e-06,0.00075054046,0.001526892,0.0053001363,0.0010767655,0.005542468,0.005599601,0.02834766,0.23312373,0.078988105,0.07193225,0.06659511,0.04409306,0.053387903,0.06552095,0.03665074,0.07171737,0.07491364,0.017309867,0.03408598,0.05556506,0.0468737
Seq024,0.00065978477,0.00041629688,0.00022369414,0.00010681233,5.2052696e-05,2.9930314e-05,2.1103358e-05,1.7315564e-05,1.5538368e-05,1.4637371e-05,1.4152432e-05,1.3878965e-05,1.3718787e-05,1.3621844e-05,1.3561467e-05,1.3522904e-05,1.3497727e-05,1.3480978e-05,1.3469631e-05,1.3461836e-05,1.3456406e-05,1.3452595e-05,1.3449876e-05,1.34479e-05,6.935817e-05,0.003781494,0.010694122,0.007453262,0.014333597,0.008177454,0.004972747,0.0038709056,0.008299076,0.013466642,0.021326179,0.06197236,0.5104124,0.13935573,0.116383165,0.07368414
Seq025,0.0077465116,0.0048877285,0.0026263858,0.0012540801,0.0006111484,0.00035141085,0.00024777383,0.00020330148,0.00018243545,0.00017185691,0.0001661631,0.00016295248,0.00016107169,0.00015993348,0.0001592246,0.00015877197,0.00015847638,0.00015827957,0.00015814649,0.00015805497,0.00015799124,0.00015794647,0.00015791439,0.00015789135,0.00015787465,0.00015786245,0.00015785341,0.0001578465,0.00015784138,0.00015783746,0.00015783429,0.0001578322,0.00015783025,0.00015782873,0.00015782753,0.0020813465,0.036258623,0.074657634,0.31193247,0.5528182
Seq026,0.0022420778,0.0014146583,0.0007601568,0.00036296935,0.00017688515,0.000101709105,7.171337e-05,5.8841702e-05,5.2802436e-05,4.9740673e-05,4.8092712e-05,4.7163412e-05,4.6619098e-05,4.6289664e-05,4.6084497e-05,4.595345e-05,4.5867895e-05,4.5810975e-05,4.577246e-05,4.5745925e-05,4.5727524e-05,4.571453e-05,4.5705285e-05,4.5698616e-05,4.5693778e-05,4.569025e-05,4.5687593e-05,4.568563e-05,4.5684148e-05,4.5682973e-05,4.5682104e-05,4.5681492e-05,0.0008719368,0.015298973,0.05776402,0.17607303,0.5794852,0.11043329,0.018783776,0.034986492
Seq027,0.0004027363,0.00025410994,0.0001365442,6.519887e-05,3.1773237e-05,1.8269639e-05,1.2881613e-05,1.0569522e-05,9.48471e-06,8.934737e-06,8.638719e-06,8.471793e-06,8.37402e-06,8.314845e-06,8.277992e-06,8.254451e-06,8.239083e-06,8.22886e-06,8.221941e-06,0.0007987522,0.0030733908,0.048533894,0.0068833544,0.006286872,0.0068997047,0.011678636,0.120797224,0.19294949,0.12338501,0.044215187,0.07483997,0.07408292,0.069780946,0.024139563,0.033746485,0.0055473717,0.040247794,0.03470854,0.06965844,0.006720913
Seq028,0.00076596305,0.000483291,0.00025969304,0.00012400156,6.042944e-05,3.4746976e-05,2.4499506e-05,2.0102147e-05,1.8038943e-05,1.6992952e-05,1.6429956e-05,1.6112495e-05,1.5926526e-05,1.5813983e-05,1.5743888e-05,1.5699134e-05,1.5669906e-05,1.5650447e-05,1.5637273e-05,1.5628239e-05,1.5621921e-05,1.5617512e-05,1.561434e-05,1.561206e-05,1.5610407e-05,1.5609203e-05,1.560831e-05,1.5607624e-05,1.5607118e-05,1.560673e-05,2.1274316e-05,0.0013456744,0.027985273,0.118501484,0.13817295,0.28192523,0.13209765,0.11466558,0.11944145,0.06372114
Seq029,0.024382327,0.01538424,0.008266612,0.0039472464,0.0019236049,0.0011060738,0.00077987404,0.0006398965,0.0005742202,0.00054092385,0.0005230025,0.0005128967,0.00050697714,0.00050339464,0.00050116336,0.0004997385,0.0004988081,0.0004981889,0.0004977698,0.0004974817,0.0004972811,0.0004971402,0.0004970395,0.000496967,0.00049691444,0.000496876,0.0004968474,0.0004968258,0.00049680966,0.0004967971,0.0004967874,0.00049678056,0.0004967746,0.0004967699,0.0034982825,0.04257563,0.15018208,0.19886369,0.33257002,0.20276916
Seq030,0.0010610914,0.0006695047,0.00035975373,0.00017177979,8.3713116e-05,4.8135113e-05,3.3939254e-05,2.7847575e-05,2.4989415e-05,2.3540397e-05,2.2760478e-05,2.2320699e-05,2.2063074e-05,2.1907164e-05,2.1810067e-05,2.1748067e-05,2.1707578e-05,2.1680618e-05,2.166237e-05,2.1649854e-05,2.16411e-05,2.1634993e-05,2.16306e-05,2.1627442e-05,2.1625154e-05,2.1623484e-05,2.1622247e-05,2.1621297e-05,2.1620597e-05,2.162006e-05,2.1619628e-05,0.0027470905,0.0065553337,0.058172245,0.12777631,0.23292343,0.118693665,0.106906295,0.2140813,0.12918286
Seq031,0.010852863,0.0068477076,0.003679566,0.0017569661,0.000856219,0.00049232657,0.00034713114,0.00028482536,0.00025559208,0.00024077152,0.00023279448,0.00022829641,0.00022566141,0.0002240668,0.00022307366,0.00022243954,0.0002220254,0.00022174968,0.00022156323,0.00022143501,0.0002213457,0.00022128303,0.00022123808,0.0002212058,0.00022118239,0.00022116528,0.00022115264,0.00022114294,0.00022113576,0.00022113028,0.00022112585,0.0002211229,0.00022112016,0.00022111805,0.00022111637,0.0037868924,0.025656829,0.16428837,0.43670478,0.3383885
Seq032,0.005261202,0.0033196004,0.0017837634,0.0008517341,0.00041507414,0.00023866785,0.00016828066,0.00013807643,0.00012390483,0.000116720184,0.000112853166,0.000110672496,0.00010939523,0.00010862219,0.00010814074,0.00010783323,0.00010763247,0.00010749891,0.00010740842,0.000107346255,0.00010730296,0.00010727257,0.00010725089,0.000107235144,0.000107223896,0.000107215514,0.00010720937,0.000107204665,0.000107201195,0.00010719853,0.00010719649,0.00010719496,0.00012720366,0.002961237,0.009240695,0.04097424,0.070268355,0.34700993,0.339711,0.17491628
Seq033,0.0010150281,0.0006404407,0.0003441362,0.00016432254,8.0079066e-05,4.6045483e-05,3.2465894e-05,2.6638663e-05,2.3904582e-05,2.251847e-05,2.1772428e-05,2.135172e-05,2.1105297e-05,2.0956159e-05,2.0863272e-05,2.0803946e-05,2.0765214e-05,2.0739446e-05,2.072199e-05,2.0709997e-05,2.0701646e-05,2.0695783e-05,2.06916e-05,2.0688558e-05,2.068639e-05,2.0684773e-05,2.0683588e-05,2.068268e-05,0.00013029882,0.007347118,0.009181711,0.020417009,0.06324353,0.22351,0.26017365,0.11209027,0.04242402,0.050511513,0.14323334,0.064966604
Seq034,0.0026730031,0.0016865544,0.0009062579,0.00043273155,0.00021088234,0.000121257464,8.5496584e-05,7.0151065e-05,6.295105e-05,5.930082e-05,5.7336063e-05,5.6228208e-05,5.5579225e-05,5.518648e-05,5.4941873e-05,5.4785687e-05,5.4683693e-05,5.461578e-05,5.4569868e-05,5.4538283e-05,5.4516287e-05,5.4500848e-05,5.4489774e-05,5.448188e-05,5.447606e-05,5.4471908e-05,5.446874e-05,5.4466396e-05,5.4464632e-05,5.4463228e-05,5.4462136e-05,5.4461412e-05,5.446079e-05,5.4460266e-05,9.1605994e-05,0.0017752274,0.05883784,0.29482064,0.4443935,0.19245748
Seq035,0.00063494826,0.00040062607,0.00021527363,0.0001027916,5.0093233e-05,2.8803648e-05,2.0308966e-05,1.6663756e-05,1.4953457e-05,1.4086377e-05,1.361968e-05,1.3356507e-05,1.3202359e-05,1.3109066e-05,1.3050962e-05,1.301385e-05,1.2989621e-05,1.2973503e-05,1.2962593e-05,1.77921e-05,0.0008342922,0.004721533,0.008985414,0.0605013,0.04724087,0.044126697,0.08734354,0.04353151,0.06048322,0.15225533,0.122591116,0.037151635,0.062057227,0.10335994,0.09889978,0.015101683,0.01168852,0.012583087,0.012107867,0.012800848
Seq036,0.0032823938,0.0020710547,0.0011128662,0.00053138554,0.00025895922,0.0001489017,0.00010498806,8.6144e-05,7.730254e-05,7.2820134e-05,7.040759e-05,6.90471e-05,6.825023e-05,6.776794e-05,6.746757e-05,6.7275716e-05,6.715046e-05,6.7067136e-05,6.701068e-05,6.69719e-05,6.694489e-05,6.692593e-05,6.69124e-05,6.6902576e-05,6.6895554e-05,6.689033e-05,6.68865e-05,6.6883564e-05,6.6881395e-05,6.687974e-05,6.687847e-05,6.687751e-05,6.687667e-05,6.687604e-05,0.000749183,0.008244448,0.05814183,0.19955596,0.35532323,0.36862367
Seq037,0.0020396383,0.0012869274,0.00069152116,0.00033019634,0.00016091403,9.2525646e-05,6.523827e-05,5.3528856e-05,4.8034875e-05,4.524956e-05,4.3750355e-05,4.2905e-05,4.2409796e-05,4.211011e-05,4.192346e-05,4.1804287e-05,4.172646e-05,4.167464e-05,4.16396e-05,4.16155e-05,4.1598716e-05,4.158694e-05,4.1578493e-05,4.1572464e-05,4.1568026e-05,4.1564854e-05,4.1562434e-05,4.1560652e-05,4.1559306e-05,4.1558236e-05,4.15574e-05,0.00010779761,0.0007978408,0.009431642,0.03466772,0.029099591,0.20518036,0.16972457,0.28398344,0.26131445
Seq038,0.0018998889,0.0011987512,0.0006441406,0.00030757248,0.00014988871,8.6186126e-05,6.076838e-05,4.9861203e-05,4.4743658e-05,4.2149182e-05,4.0752737e-05,3.9965307e-05,3.950403e-05,3.9224877e-05,3.9051018e-05,3.894001e-05,3.886751e-05,3.8819242e-05,3.8786566e-05,3.876416e-05,3.8748487e-05,3.873755e-05,3.8729682e-05,3.8724032e-05,3.8719932e-05,3.8716942e-05,3.8714727e-05,3.8713028e-05,3.8711773e-05,3.8710812e-05,3.871004e-05,3.8709484e-05,3.870904e-05,0.00043368962,0.005568433,0.040904995,0.14966953,0.24320503,0.18164855,0.37318972
Seq039,0.0051992387,0.0032805041,0.0017627552,0.0008417029,0.00041018563,0.00023585698,0.00016629875,0.00013645017,0.00012244549,0.00011534546,0.000111524045,0.000109369066,0.00010810683,0.0001073429,0.00010686712,0.00010656323,0.00010636484,0.00010623285,0.00010614343,0.000106082,0.00010603922,0.00010600918,0.00010598776,0.00010597219,0.00010596107,0.00010595279,0.000105946725,0.00010594208,0.00010593864,0.00010593602,0.00010593399,0.00010593248,0.00010593116,0.00010593016,0.00010592935,0.0011082778,0.03783434,0.8777867,0.026603058,0.041732952
Seq040,0.0033602256,0.0021201633,0.0011392544,0.00054398575,0.00026509966,0.00015243245,0.00010747754,8.818664e-05,7.9135534e-05,7.454684e-05,7.2077084e-05,7.068434e-05,6.986857e-05,6.9374844e-05,6.9067355e-05,6.8870955e-05,6.874273e-05,6.865743e-05,6.859964e-05,6.8559944e-05,6.853229e-05,6.8512876e-05,6.849903e-05,6.8488975e-05,6.8481786e-05,6.847643e-05,6.847251e-05,6.846951e-05,6.846729e-05,6.846559e-05,6.846428e-05,6.8463305e-05,6.846246e-05,6.8461806e-05,0.0025550795,0.040534206,0.07324334,0.12696396,0.38700148,0.3601182
Seq041,0.0038477501,0.002427771,0.0013045453,0.000622911,0.00030356212,0.00017454839,0.00012307112,0.000100981364,9.061706e-05,8.5362604e-05,8.253453e-05,8.093971e-05,8.000558e-05,7.944023e-05,7.908812e-05,7.8863224e-05,7.87164e-05,7.861872e-05,7.855254e-05,7.850708e-05,7.847542e-05,7.84532e-05,7.843733e-05,7.8425815e-05,7.841759e-05,7.841146e-05,7.840697e-05,7.840353e-05,7.840099e-05,7.839905e-05,7.839755e-05,7.8396435e-05,7.839546e-05,7.839471e-05,7.8394114e-05,0.002135909,0.04033295,0.13187209,0.35792506,0.4566814
Seq042,0.0017785105,0.0011221665,0.00060298806,0.00028792242,0.00014031283,8.0679914e-05,5.688604e-05,4.6675694e-05,4.1885098e-05,3.9456376e-05,3.814918e-05,3.7412025e-05,3.698025e-05,3.671893e-05,3.6556183e-05,3.6452228e-05,3.6384365e-05,3.6339214e-05,3.6308626e-05,3.6287613e-05,3.6272977e-05,3.6262703e-05,3.6255373e-05,3.625005e-05,3.6246245e-05,3.624341e-05,3.6241338e-05,3.6239748e-05,3.6238576e-05,3.6237674e-05,3.6236986e-05,5.795322e-05,0.0007934649,0.0034662907,0.013122328,0.035249613,0.067041956,0.17743075,0.22689497,0.47097895
Seq043,0.014015133,0.008842968,0.004751705,0.0022689048,0.0011057016,0.000635779,0.00044827702,0.00036781697,0.00033006576,0.00031092684,0.00030062548,0.00029481648,0.000291414,0.00028935474,0.00028807222,0.00028725306,0.00028671828,0.00028636245,0.00028612145,0.00028595584,0.0002858405,0.00028575957,0.0002857018,0.00028566012,0.00028562988,0.00028560782,0.0002855912,0.00028557892,0.00028556967,0.00028556233,0.00028555686,0.00028555281,0.00028554953,0.0002855468,0.00028554464,0.0027196624,0.026041277,0.22884232,0.20005609,0.5020824
Seq044,0.027005766,0.01703952,0.009156063,0.0043719537,0.0021305769,0.0012250828,0.0008637852,0.0007087467,0.00063600385,0.00059912505,0.00057927537,0.00056808203,0.0005615258,0.0005575578,0.0005550865,0.00055350806,0.00055247755,0.0005517919,0.0005513275,0.00055100844,0.0005507862,0.0005506302,0.0005505189,0.00055043853,0.0005503803,0.00055033783,0.0005503058,0.0005502822,0.0005502644,0.0005502502,0.0005502397,0.0005502318,0.0005502255,0.00055022025,0.00055021606,0.00082198536,0.008377209,0.1394889,0.31683093,0.4569073
