,Length,R3,R2,R1
Seq130,22.0,0.22218558192253113,0.3686695992946625,0.40914487838745117
Seq131,19.0,0.21650753915309906,0.4436480700969696,0.33984431624412537
Seq132,13.0,0.281546413898468,0.3989317715167999,0.31952184438705444
Seq133,37.0,0.22358070313930511,0.3528270721435547,0.4235922396183014
Seq134,39.0,0.24067743122577667,0.40009501576423645,0.35922762751579285
Seq135,19.0,0.3048219084739685,0.35800400376319885,0.33717408776283264
Seq136,102.0,0.11229526251554489,0.34701573848724365,0.5406889915466309
Seq137,24.0,0.2569393217563629,0.34129130840301514,0.40176934003829956
Seq138,37.0,0.17455750703811646,0.2587144672870636,0.5667279958724976
Seq139,24.0,0.2524011433124542,0.3400164842605591,0.4075823128223419
Seq140,30.0,0.2571183443069458,0.34317252039909363,0.3997091054916382
Seq141,13.0,0.3588967025279999,0.3887188732624054,0.25238439440727234
Seq142,32.0,0.18117167055606842,0.437487930059433,0.3813403844833374
Seq143,14.0,0.347426176071167,0.35127297043800354,0.3013008236885071
Seq144,32.0,0.2944914698600769,0.30889102816581726,0.39661747217178345
Seq145,27.0,0.2650893032550812,0.4326452910900116,0.3022654056549072
Seq146,43.0,0.2652199864387512,0.3101852834224701,0.4245947599411011
Seq147,48.0,0.07669210433959961,0.5471795201301575,0.3761284649372101
Seq148,25.0,0.20968587696552277,0.41771167516708374,0.3726024627685547
Seq149,25.0,0.28332656621932983,0.34628236293792725,0.37039104104042053
Seq150,14.0,0.2804810404777527,0.4970506727695465,0.22246824204921722
Seq151,64.0,0.16097913682460785,0.4283038377761841,0.41071704030036926
Seq152,66.0,0.12301595509052277,0.44434207677841187,0.43264201283454895
Seq153,18.0,0.29487982392311096,0.36434754729270935,0.3407726585865021
Seq154,16.0,0.28865760564804077,0.4090530574321747,0.30228936672210693
Seq155,30.0,0.27504295110702515,0.39650869369506836,0.3284483253955841
Seq156,22.0,0.3467186987400055,0.405548095703125,0.2477332204580307
Seq157,25.0,0.2954753041267395,0.33115649223327637,0.3733682632446289
Seq158,30.0,0.11507270485162735,0.41454821825027466,0.47037914395332336
Seq159,25.0,0.32360607385635376,0.3531138300895691,0.32328009605407715
Seq160,23.0,0.30012044310569763,0.37365463376045227,0.3262249231338501
Seq161,46.0,0.19334185123443604,0.4037342667579651,0.4029238224029541
Seq162,17.0,0.3202413320541382,0.3431811034679413,0.33657747507095337
Seq163,24.0,0.2467333972454071,0.3508954644203186,0.4023711085319519
Seq164,66.0,0.21864859759807587,0.22883233428001404,0.5525190830230713
Seq165,46.0,0.15362286567687988,0.3762686252593994,0.4701085686683655
Seq166,31.0,0.21995636820793152,0.3426503837108612,0.4373932182788849
Seq167,23.0,0.3908023238182068,0.42303600907325745,0.186161607503891
Seq168,17.0,0.42097994685173035,0.2792792022228241,0.29974085092544556
Seq169,25.0,0.2579869031906128,0.46269312500953674,0.27932003140449524
Seq170,62.0,0.24096886813640594,0.36301136016845703,0.39601975679397583
Seq171,17.0,0.30152350664138794,0.3703628480434418,0.3281136155128479
Seq172,55.0,0.20188093185424805,0.34887489676475525,0.4492441713809967
Seq173,42.0,0.09129147976636887,0.19228312373161316,0.7164254188537598
Seq174,33.0,0.23834578692913055,0.34179696440696716,0.4198572337627411
Seq175,126.0,0.04359195753931999,0.3771604597568512,0.5792475938796997
Seq176,29.0,0.22617390751838684,0.3950611650943756,0.37876489758491516
Seq177,16.0,0.6214673519134521,0.2284434288740158,0.15008918941020966
Seq178,35.0,0.21517665684223175,0.3910404145717621,0.39378300309181213
Seq179,15.0,0.33002594113349915,0.4100654125213623,0.25990864634513855
Seq180,16.0,0.549605131149292,0.12159233540296555,0.32880252599716187
Seq181,34.0,0.23825643956661224,0.3761809766292572,0.38556256890296936
Seq182,31.0,0.24125267565250397,0.35838598012924194,0.4003612697124481
Seq183,34.0,0.5748171806335449,0.15236851572990417,0.2728143036365509
Seq184,28.0,0.22607825696468353,0.3581315279006958,0.41579023003578186
Seq185,13.0,0.3294360935688019,0.33230316638946533,0.338260680437088
Seq186,43.0,0.2220643311738968,0.3706669509410858,0.4072687029838562
Seq187,21.0,0.22101379930973053,0.3975667655467987,0.38141942024230957
Seq188,14.0,0.3293186128139496,0.3851666748523712,0.2855147421360016
Seq189,29.0,0.21698682010173798,0.36330631375312805,0.4197068512439728
Seq190,13.0,0.44902607798576355,0.17074841260910034,0.3802255392074585
Seq191,19.0,0.3451394736766815,0.3448759615421295,0.3099845051765442
Seq192,20.0,0.2729372978210449,0.3547366261482239,0.3723260164260864
Seq193,25.0,0.24121911823749542,0.5005684494972229,0.2582123875617981
Seq194,127.0,0.11821281909942627,0.3859993517398834,0.4957878887653351
Seq195,34.0,0.22574931383132935,0.46671533584594727,0.3075353503227234
Seq196,25.0,0.30417484045028687,0.38955873250961304,0.3062664866447449
Seq197,16.0,0.24552205204963684,0.4637548327445984,0.29072314500808716
Seq198,29.0,0.25561559200286865,0.3744032084941864,0.36998122930526733
Seq199,18.0,0.1144048348069191,0.4770064055919647,0.4085887372493744
Seq200,31.0,0.2745564877986908,0.37554067373275757,0.34990283846855164
Seq201,12.0,0.37580299377441406,0.4075659215450287,0.21663114428520203
Seq202,23.0,0.2244308888912201,0.42533689737319946,0.3502323031425476
Seq203,16.0,0.2503430247306824,0.4297327399253845,0.3199242055416107
Seq204,24.0,0.23410150408744812,0.3448505997657776,0.4210478961467743
Seq205,19.0,0.2613363564014435,0.3854033648967743,0.35326024889945984
Seq206,30.0,0.3195393979549408,0.34094855189323425,0.3395121097564697
Seq207,79.0,0.21372833847999573,0.348489910364151,0.4377817213535309
Seq208,33.0,0.19593453407287598,0.35861262679100037,0.44545280933380127
Seq209,13.0,0.28020110726356506,0.3745502829551697,0.34524860978126526
Seq210,148.0,0.0006360082188621163,0.37831658124923706,0.6210474371910095
Seq211,24.0,0.2680829167366028,0.3343231678009033,0.3975938558578491
Seq212,62.0,0.5685699582099915,0.06966507434844971,0.3617650270462036
Seq213,34.0,0.0734826996922493,0.4461421072483063,0.4803752303123474
Seq214,83.0,0.036953654140233994,0.42195311188697815,0.5410932302474976
Seq215,34.0,0.1607939749956131,0.4503016471862793,0.388904333114624
Seq216,16.0,0.44125044345855713,0.31383320689201355,0.24491634964942932
Seq217,37.0,0.1203361228108406,0.3993431031703949,0.4803207516670227
Seq218,28.0,0.2554720640182495,0.3591955006122589,0.3853324055671692
Seq219,42.0,0.23949536681175232,0.33103305101394653,0.42947152256965637
Seq220,12.0,0.24740292131900787,0.4163784980773926,0.3362185060977936
Seq221,20.0,0.2547775208950043,0.40523800253868103,0.33998459577560425
Seq222,17.0,0.3524729609489441,0.4253106713294983,0.22221639752388
Seq223,60.0,0.13077248632907867,0.4723561108112335,0.3968713879585266
Seq224,19.0,0.24423833191394806,0.3908389210700989,0.3649227023124695
Seq225,81.0,0.09068341553211212,0.43306463956832886,0.4762519896030426
Seq226,14.0,0.2931998074054718,0.44111987948417664,0.26568037271499634
Seq227,33.0,0.20634374022483826,0.37857213616371155,0.4150840938091278
Seq228,13.0,0.3365950286388397,0.4236532151699066,0.23975178599357605
Seq229,22.0,0.21808740496635437,0.4514954388141632,0.3304171860218048
Seq230,32.0,0.31595712900161743,0.42645275592803955,0.25759008526802063
Seq231,43.0,0.11626788228750229,0.4336375892162323,0.4500945210456848
Seq232,28.0,0.19913697242736816,0.38866126537323,0.4122017025947571
Seq233,17.0,0.26001861691474915,0.41056808829307556,0.3294132947921753
Seq234,38.0,0.3323202431201935,0.3824697434902191,0.2852099537849426
Seq235,53.0,0.13171932101249695,0.36934301257133484,0.4989376664161682
Seq236,33.0,0.19463787972927094,0.41791266202926636,0.3874494433403015
Seq237,43.0,0.18422256410121918,0.4325934946537018,0.38318392634391785
Seq238,41.0,0.208206906914711,0.45776912569999695,0.33402401208877563
Seq239,44.0,0.2189493179321289,0.35991907119750977,0.42113155126571655
Seq240,16.0,0.28167724609375,0.37713587284088135,0.3411869406700134
Seq241,27.0,0.2202046811580658,0.3781716525554657,0.40162360668182373
Seq242,22.0,0.23097918927669525,0.37432610988616943,0.3946946859359741
Seq243,14.0,0.3798164129257202,0.37911850214004517,0.24106508493423462
Seq244,33.0,0.13801299035549164,0.41801831126213074,0.44396868348121643
Seq245,13.0,0.40048813819885254,0.27856338024139404,0.32094845175743103
Seq246,74.0,0.15639707446098328,0.38930532336235046,0.4542975425720215
Seq247,28.0,0.29795536398887634,0.36792656779289246,0.3341180980205536
Seq248,14.0,0.45377156138420105,0.2949037551879883,0.25132474303245544
Seq249,23.0,0.31642866134643555,0.35807979106903076,0.3254915177822113
Seq250,50.0,0.2221694439649582,0.3535724878311157,0.4242580831050873
Seq251,20.0,0.27901509404182434,0.3403908908367157,0.38059401512145996
Seq252,38.0,0.27770382165908813,0.4187009334564209,0.3035951852798462
Seq253,20.0,0.2799350321292877,0.4101289212703705,0.3099360466003418
Seq254,19.0,0.291753888130188,0.44235163927078247,0.2658943831920624
Seq255,24.0,0.22781962156295776,0.3658287525177002,0.40635165572166443
Seq256,88.0,0.2821369469165802,0.295626699924469,0.4222363233566284
Seq257,30.0,0.21128472685813904,0.3674398958683014,0.4212753474712372
Seq258,21.0,0.29258471727371216,0.3975420296192169,0.3098733127117157
Seq259,13.0,0.3368198573589325,0.424938440322876,0.23824162781238556
Seq260,13.0,0.3316999673843384,0.36332860589027405,0.30497145652770996
Seq261,86.0,0.004578575026243925,0.23926012217998505,0.7561612725257874
Seq262,21.0,0.2906830608844757,0.38890334963798523,0.3204135596752167
Seq263,31.0,0.2700611352920532,0.3754774034023285,0.3544614911079407
Seq264,41.0,0.08615551888942719,0.1384858787059784,0.7753586173057556
Seq265,21.0,0.27300864458084106,0.3895840644836426,0.33740735054016113
Seq266,37.0,0.21629248559474945,0.33867835998535156,0.4450291395187378
Seq267,29.0,0.28416237235069275,0.3784584105014801,0.3373791575431824
Seq268,33.0,0.24419695138931274,0.4115524888038635,0.34425053000450134
Seq269,33.0,0.2400001883506775,0.36915773153305054,0.3908420503139496
Seq270,119.0,0.1916321963071823,0.36280882358551025,0.44555899500846863
Seq271,71.0,0.19067783653736115,0.3468892574310303,0.4624329209327698
Seq272,46.0,0.2629910409450531,0.3315192461013794,0.40548965334892273
Seq273,38.0,0.25899603962898254,0.3656299114227295,0.37537410855293274
Seq274,44.0,0.37392714619636536,0.30264365673065186,0.32342925667762756
Seq275,16.0,0.36415255069732666,0.3512755036354065,0.28457194566726685
Seq276,12.0,0.33282965421676636,0.3620307147502899,0.30513957142829895
Seq277,13.0,0.3407727777957916,0.39461296796798706,0.2646142244338989
Seq278,22.0,0.29300811886787415,0.3559569716453552,0.35103490948677063
Seq279,20.0,0.3184639513492584,0.3081166446208954,0.3734194040298462
Seq280,24.0,0.25825828313827515,0.44515538215637207,0.29658636450767517
Seq281,90.0,0.3100842237472534,0.32675063610076904,0.36316514015197754
Seq282,18.0,0.2614944577217102,0.39161062240600586,0.3468949794769287
Seq283,33.0,0.23465175926685333,0.3616151809692383,0.4037330448627472
Seq284,24.0,0.3153109550476074,0.3539924621582031,0.33069664239883423
Seq285,31.0,0.24946211278438568,0.40622851252555847,0.34430938959121704
Seq286,30.0,0.3021393418312073,0.3114662170410156,0.3863944113254547
Seq287,25.0,0.16773761808872223,0.37896251678466797,0.4532998204231262
Seq288,127.0,0.10955267399549484,0.348722368478775,0.5417250394821167
Seq289,38.0,0.25153958797454834,0.4785664677619934,0.2698938846588135
Seq290,14.0,0.2863573729991913,0.37538108229637146,0.33826157450675964
Seq291,65.0,0.16562417149543762,0.35312485694885254,0.48125094175338745
Seq292,24.0,0.34224721789360046,0.42278623580932617,0.23496663570404053
Seq293,26.0,0.829436719417572,0.07638310641050339,0.0941801518201828
Seq294,21.0,0.29655301570892334,0.44325220584869385,0.2601948380470276
Seq295,55.0,0.2771468758583069,0.4081020653247833,0.31475111842155457
Seq296,25.0,0.19136115908622742,0.5531647801399231,0.2554740309715271
Seq297,43.0,0.27062469720840454,0.3116355240345001,0.4177398085594177
Seq298,42.0,0.2093585580587387,0.4714793562889099,0.31916216015815735
Seq299,22.0,0.3157522976398468,0.3587850332260132,0.3254626989364624
Seq300,19.0,0.48663344979286194,0.22732019424438477,0.2860463559627533
Seq301,24.0,0.3246670067310333,0.33739128708839417,0.3379417657852173
Seq302,17.0,0.24232177436351776,0.41136181354522705,0.3463163673877716
Seq303,31.0,0.10222350805997849,0.3658826947212219,0.5318937301635742
Seq304,22.0,0.26230868697166443,0.3554767966270447,0.3822145164012909
Seq305,102.0,0.021761462092399597,0.4228437542915344,0.5553948283195496
Seq306,19.0,0.1683160960674286,0.35840195417404175,0.4732819199562073
Seq307,33.0,0.17248383164405823,0.4102950096130371,0.41722121834754944
Seq308,68.0,0.2206074595451355,0.3913973867893219,0.3879951536655426
Seq309,28.0,0.28616777062416077,0.372671514749527,0.3411606252193451
Seq310,39.0,0.12250792980194092,0.3486250936985016,0.5288669466972351
Seq311,41.0,0.3001137971878052,0.3525036573410034,0.347382515668869
Seq312,75.0,0.21188507974147797,0.3534824550151825,0.43463245034217834
Seq313,43.0,0.9941689968109131,0.0017337744357064366,0.0040973094291985035
Seq314,28.0,0.27240368723869324,0.3194916248321533,0.40810462832450867
Seq315,13.0,0.34948572516441345,0.35999569296836853,0.2905186116695404
Seq316,22.0,0.10528286546468735,0.5119904279708862,0.3827267289161682
Seq317,20.0,0.270772784948349,0.37125614285469055,0.35797107219696045
Seq318,21.0,0.20473574101924896,0.3881169259548187,0.4071473479270935
Seq319,50.0,0.2124544233083725,0.3593200445175171,0.4282255172729492
Seq320,40.0,0.1691921353340149,0.41874024271965027,0.4120676815509796
Seq321,37.0,0.15861748158931732,0.3743962347507477,0.4669862687587738
Seq322,26.0,0.3467273712158203,0.3489355742931366,0.3043370842933655
Seq323,14.0,0.7420363426208496,0.11416184157133102,0.14380189776420593
Seq324,27.0,0.1538553684949875,0.41038787364959717,0.4357568025588989
Seq325,44.0,0.23706059157848358,0.32829979062080383,0.4346396028995514
Seq326,149.0,0.1755792647600174,0.3553699553012848,0.4690507650375366
Seq327,31.0,0.26523786783218384,0.32726988196372986,0.4074922204017639
Seq328,13.0,0.36138731241226196,0.36317673325538635,0.2754359841346741
Seq329,60.0,0.2835216820240021,0.38643744587898254,0.3300408720970154
Seq330,32.0,0.22897031903266907,0.44541919231414795,0.325610488653183
Seq331,25.0,0.26917433738708496,0.36493492126464844,0.365890771150589
Seq332,16.0,0.26305508613586426,0.4537462294101715,0.28319868445396423
Seq333,18.0,0.30580034852027893,0.3725450038909912,0.32165464758872986
Seq334,40.0,0.21506939828395844,0.32329273223876953,0.46163785457611084
Seq335,14.0,0.309352844953537,0.3959816098213196,0.2946655750274658
Seq336,23.0,0.34939733147621155,0.3846113681793213,0.2659912407398224
Seq337,20.0,0.28176429867744446,0.35399508476257324,0.3642406165599823
Seq338,37.0,0.14354132115840912,0.4511318802833557,0.40532681345939636
Seq339,28.0,0.2658724784851074,0.34035053849220276,0.3937769830226898
Seq340,51.0,0.04179207608103752,0.13941922783851624,0.8187887072563171
Seq341,26.0,0.14160914719104767,0.45098555088043213,0.4074053168296814
Seq342,14.0,0.28556951880455017,0.37467026710510254,0.3397601544857025
Seq343,19.0,0.23309600353240967,0.4188300371170044,0.3480740189552307
Seq344,31.0,0.2319759875535965,0.33610284328460693,0.43192121386528015
Seq345,20.0,0.27743756771087646,0.4639444351196289,0.25861799716949463
Seq346,29.0,0.19354185461997986,0.4104906916618347,0.3959675133228302
Seq347,27.0,0.23199832439422607,0.38196074962615967,0.38604095578193665
Seq348,14.0,0.35513126850128174,0.4249238669872284,0.21994489431381226
Seq349,29.0,0.2711540460586548,0.39551883935928345,0.333327054977417
Seq350,21.0,0.2584271728992462,0.4330444931983948,0.308528333902359
Seq351,18.0,0.267194539308548,0.4883714020252228,0.24443408846855164
Seq352,24.0,0.26825669407844543,0.4479388892650604,0.28380444645881653
Seq353,46.0,0.17077018320560455,0.44012707471847534,0.3891027271747589
Seq354,30.0,0.23081745207309723,0.3451946973800659,0.42398789525032043
Seq355,17.0,0.29145264625549316,0.4195253252983093,0.28902196884155273
Seq356,38.0,0.3318447172641754,0.2991255521774292,0.3690297603607178
Seq357,53.0,0.28592199087142944,0.3223138749599457,0.39176416397094727
Seq358,26.0,0.29717037081718445,0.36077579855918884,0.3420538604259491
Seq359,42.0,0.28527864813804626,0.37444648146629333,0.3402749001979828
Seq360,20.0,0.38198843598365784,0.3669801950454712,0.2510313391685486
Seq361,34.0,0.2263239175081253,0.348130464553833,0.42554566264152527
Seq362,20.0,0.3025512993335724,0.3520929217338562,0.3453557789325714
Seq363,64.0,0.13196241855621338,0.44251301884651184,0.42552450299263
Seq364,27.0,0.1615614891052246,0.38203492760658264,0.4564036726951599
Seq365,21.0,0.20420551300048828,0.4017180800437927,0.394076406955719
Seq366,13.0,0.29875630140304565,0.3809024393558502,0.3203412890434265
Seq367,49.0,0.2794801592826843,0.3309136629104614,0.3896061182022095
Seq368,98.0,0.10244693607091904,0.2679330110549927,0.6296200752258301
Seq369,83.0,0.249540314078331,0.3398212790489197,0.4106384217739105
Seq370,97.0,0.15032590925693512,0.3720760941505432,0.47759801149368286
Seq371,13.0,0.37462446093559265,0.3782934248447418,0.2470821589231491
Seq372,78.0,0.1078789234161377,0.38795050978660583,0.5041705965995789
Seq373,38.0,0.2583445608615875,0.36588144302368164,0.3757740259170532
Seq374,114.0,0.04428083822131157,0.40448251366615295,0.551236629486084
Seq375,34.0,0.20867793262004852,0.392723947763443,0.3985981047153473
Seq376,23.0,0.33289435505867004,0.3578179180622101,0.3092876970767975
Seq377,42.0,0.2308521270751953,0.3597477376461029,0.4094001054763794
Seq378,29.0,0.21207095682621002,0.38800516724586487,0.3999238610267639
Seq379,18.0,0.29681283235549927,0.37084200978279114,0.3323451578617096
Seq380,24.0,0.3121165931224823,0.34778404235839844,0.34009939432144165
Seq381,20.0,0.41137492656707764,0.36411184072494507,0.22451317310333252
Seq382,15.0,0.27108433842658997,0.40755319595336914,0.3213624060153961
Seq383,37.0,0.20716746151447296,0.40062013268470764,0.3922123908996582
Seq384,21.0,0.12503547966480255,0.47235557436943054,0.4026090204715729
Seq385,21.0,0.3546966016292572,0.3327783942222595,0.3125250041484833
Seq386,36.0,0.22008126974105835,0.3721013069152832,0.40781739354133606
Seq387,32.0,0.8615895509719849,0.050446439534425735,0.08796398341655731
Seq388,73.0,0.008129365742206573,0.429854154586792,0.5620164275169373
Seq389,21.0,0.2880224585533142,0.3903343081474304,0.32164323329925537
